thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,49,13,001,26,f,r,calibration,0.55,2,0,49,0.40766968306220214,-0.37360720091511007,0,False,0.8415775001049042,False,dot,square,0.26780267081770354,6.037595109402928,1092.80471480193,542.2059842925636,245,[np.int64(24)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,50,13,001,26,f,r,calibration,0.55,2,0,50,0.40766968306220214,-0.37360720091511007,1,False,0.7904165997169912,False,dot,dot,0.2670693011487567,6.626103091007183,1205.9507625633073,275.2689864640334,531,[np.int64(23)],-0.45972652061417246,3.0885675810857887,1.9732417711978203,0.02450290672818641,0.021032788417976865,,,,,,,,,,13,001,26,f,r,,,,,,,
,,51,13,001,26,f,r,calibration,0.55,2,0,51,0.40766968306220214,-0.37360720091511007,1,False,0.875962299760431,False,square,square,0.26625486844817065,5.857355142925971,1066.0386360125267,416.53555952638305,961,[np.int64(698)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,52,13,001,26,f,r,calibration,0.55,2,0,52,0.40766968306220214,-0.37360720091511007,1,False,1.163893099874258,False,dot,dot,0.2653867391615003,6.329869968847783,1152.0363343302965,305.1067938048592,1290,[np.int64(641)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,53,13,001,26,f,r,calibration,0.55,2,0,53,0.40766968306220214,-0.37360720091511007,1,False,0.75853839982301,False,square,square,0.26449260126498875,8.031436636057139,1461.7214677623992,295.6380209592025,1194,[np.int64(422)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,54,13,001,26,f,r,calibration,0.55,2,0,54,0.40766968306220214,-0.37360720091511007,1,False,0.5955320997163653,False,dot,dot,0.2635991477915192,7.327623718987804,1333.6275168557804,382.6702866265841,1427,[np.int64(925)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,55,13,001,26,f,r,calibration,0.55,2,0,55,0.40766968306220214,-0.37360720091511007,1,False,0.5349687002599239,False,square,square,0.2627309563915035,7.031907996684233,1279.8072553965305,320.2283030288188,327,[np.int64(1219)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,56,13,001,26,f,r,calibration,0.55,2,0,56,0.347354013008391,-0.6306903787402434,1,False,0.7602113001048565,False,dot,dot,0.26619360419728844,4.1139163798613065,748.7327811347577,484.2736352177868,588,[np.int64(606)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,57,13,001,26,f,r,calibration,0.55,2,0,57,0.347354013008391,-0.6306903787402434,1,False,0.7970742001198232,False,square,square,0.2694170805860822,5.712676725531736,1039.707164046776,247.02378092831705,1179,[np.int64(147)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,58,13,001,26,f,r,calibration,0.55,2,0,58,0.347354013008391,-0.6306903787402434,1,False,0.4371841996908188,False,square,square,0.272372458883343,6.77431937183958,1239.7004450466432,353.70349235295083,514,[np.int64(708)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
