thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,50,12,001,36,m,r,calibration,0.85,2,-1,50,0.7133701336716126,0.9118086882105548,1,False,0.7439048001542687,False,square,square,0.20948152963851055,7.934321042764706,1745.5506294082354,62.13485179313204,1385,[np.int64(1095)],0.6682655528303064,2.6656396170271415,1.5063790111584,0.028041003583365642,0.021691974515413267,,,,,,,,,,12,001,36,m,r,,,,,,,
,,51,12,001,36,m,r,calibration,0.85,2,-1,51,0.7133701336716126,0.9118086882105548,0,False,2.319588600192219,False,dot,square,0.2202734811252841,11.402485618380398,2291.89960929446,145.13507911679088,741,[np.int64(905)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,52,12,001,36,m,r,calibration,0.85,2,-1,52,0.7133701336716126,0.9118086882105548,0,False,2.801911999937147,False,dot,square,0.23361725369281622,9.484637843798614,1877.9582930721258,134.9081341752013,28,[np.int64(657)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,53,12,001,36,m,r,calibration,0.85,2,-1,53,0.7629446568996856,1.1688918660356877,1,False,1.1255932999774814,False,square,square,0.22568201857767473,5.873270471033252,1286.2462331562822,80.69137078376009,773,[np.int64(1142)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,54,12,001,36,m,r,calibration,0.85,2,-1,54,0.7629446568996856,1.1688918660356877,1,False,0.8423250000923872,False,square,square,0.21872652006601967,4.522360546641604,936.128633154812,56.668951533080595,1328,[np.int64(194)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,55,12,001,36,m,r,calibration,0.85,2,-1,55,0.7133701336716126,0.9118086882105548,1,False,1.9656444997526705,False,square,square,0.21275397999468174,5.97575403638938,1290.762871860106,63.33637931732622,788,[np.int64(737)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,56,12,001,36,m,r,calibration,0.85,2,-1,56,0.7133701336716126,0.9118086882105548,1,False,1.7447031997144222,False,dot,dot,0.20738782796204677,5.228778454473154,1087.5859185304162,52.17574954779015,1391,[np.int64(1445)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,57,12,001,36,m,r,calibration,0.85,2,-1,57,0.7133701336716126,0.9118086882105548,1,False,0.9752416997216642,False,square,square,0.20256469729303664,12.112868098225977,2555.8151687256814,154.92809752803603,975,[np.int64(15)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,58,12,001,36,m,r,calibration,0.85,2,-1,58,0.7133701336716126,0.9118086882105548,0,False,0.9849521000869572,False,dot,square,0.21108579669663094,8.820066169320175,1905.1342925731578,160.60921337255172,940,[np.int64(1027)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,59,12,001,36,m,r,calibration,0.85,2,-1,59,0.7133701336716126,0.9118086882105548,1,False,1.4558944003656507,False,dot,dot,0.205908823620643,2.106694346381777,480.3263109750452,8.245476894456587,1473,[np.int64(393)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,60,12,001,36,m,r,calibration,0.85,2,-1,60,0.7133701336716126,0.9118086882105548,1,False,0.8176432000473142,False,square,square,0.20123296810783714,4.423565798072766,889.136725412626,30.97633860590235,1504,[np.int64(648)],0.7300519306294498,2.442264102327847,1.2911085985671045,0.029652991476237373,0.021818371452009752,,,,,,,,,,12,001,36,m,r,,,,,,,
,,61,12,001,36,m,r,calibration,0.85,2,-1,61,0.7133701336716126,0.9118086882105548,1,False,1.4320809999480844,False,square,square,0.19700464632622763,7.181082253420276,1615.743507019562,38.45860931985743,474,[np.int64(750)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,62,12,001,36,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,2.496635999996215,False,dot,dot,0.9585022178944526,1.3038048797764226,267.28000035416665,7.580686863319884,1513,[np.int64(1059)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,63,12,001,36,m,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,0,False,0.9851297000423074,False,dot,square,0.8159747285924219,2.381473311733599,507.2538153992566,20.618026061556492,1348,[np.int64(857)],-0.05001588787199827,3.2319921310993145,2.0487151302990343,0.026606840000665752,0.021650718437986983,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,64,12,001,36,m,r,calibration,0.55,2,0,3,0.47090191089840744,-0.11652402308997703,0,False,1.066121299751103,False,dot,square,0.6935525476814474,1.7296587188861976,409.92911637602884,22.55542808210026,986,[np.int64(1340)],0.3722450056771243,3.2366601935202266,2.0483203891301978,0.027428518158235125,0.021783420862527256,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,65,12,001,36,m,r,calibration,0.55,2,0,4,0.5981210736084265,0.3976423325602886,1,False,1.1578167998231947,False,dot,dot,0.6781110502246894,3.7257421350769895,923.9840494990934,38.64323611913194,1079,[np.int64(574)],0.24769833187338677,3.243746057219266,2.0521468999012367,0.027099945023273286,0.02173055816702293,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,66,12,001,36,m,r,calibration,0.55,2,0,5,0.5981210736084265,0.3976423325602886,1,False,1.2124439999461174,False,square,square,0.6545066189162332,6.157101318383866,1490.0185190488955,60.04429832314561,620,[np.int64(966)],0.13367706945498636,3.2663976661795995,2.062636984788383,0.026750190998699346,0.02167021092165813,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,67,12,001,36,m,r,calibration,0.55,2,0,6,0.5981210736084265,0.3976423325602886,1,False,1.4649972999468446,False,dot,dot,0.626628812655247,10.218826104809974,2166.3911342197143,189.38831788532514,843,[np.int64(521)],0.032724313779240885,3.302514526321903,2.078565754873755,0.02638288084083025,0.02160229930168842,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,68,12,001,36,m,r,calibration,0.55,2,0,7,0.5981210736084265,0.3976423325602886,1,False,0.9249447002075613,False,dot,dot,0.5980998842346037,5.522533323086939,1386.1558640948217,79.86487193418354,1021,[np.int64(1108)],-0.05449390846667557,3.3498208956243425,2.09855507028283,0.02600161899823768,0.021526879377309877,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,69,12,001,36,m,r,calibration,0.55,2,0,8,0.5350820483873121,0.14055915473515587,1,False,0.6839450998231769,False,square,square,0.579033355525038,4.907922996009159,1065.0192901339874,62.55861405052914,771,[np.int64(826)],-0.14421214298057397,3.3810196563038324,2.1122118145009723,0.02564909585575324,0.02145275712187966,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,70,12,001,36,m,r,calibration,0.55,2,0,9,0.47090191089840744,-0.11652402308997703,1,False,0.9417274999432266,False,square,square,0.5710460194103799,0.20292231879912365,49.51304578698617,19.439748873626215,623,[np.int64(598)],-0.23695084858608245,3.384140824275479,2.1130908672357416,0.02533172301924098,0.021382421343835546,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,71,12,001,36,m,r,calibration,0.55,2,0,10,0.47090191089840744,-0.11652402308997703,0,False,0.6112911999225616,False,dot,square,0.509991319066581,3.753617892339889,773.2452858220171,16.626771027047628,48,[np.int64(1015)],0.046128589750874895,3.3252634420872935,2.0875153195528786,0.0264136771335991,0.02159724787875698,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,72,12,001,36,m,r,calibration,0.55,2,0,11,0.5981210736084265,0.3976423325602886,1,False,1.3155956002883613,False,dot,dot,0.4833705432208524,3.65369911152348,887.8488841002056,41.38704417585104,835,[np.int64(1244)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,73,12,001,36,m,r,calibration,0.55,2,0,12,0.5981210736084265,0.3976423325602886,0,False,0.7710853000171483,False,dot,square,0.5048440254098149,6.9959978091586095,1294.2595946943427,84.54270493465624,1263,[np.int64(745)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,74,12,001,36,m,r,calibration,0.55,2,0,13,0.6580745541515514,0.654725510385422,1,False,0.6575282998383045,False,square,square,0.4755625580443692,5.430200025921211,1096.9004052360847,28.192573835405504,27,[np.int64(825)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,75,12,001,36,m,r,calibration,0.55,2,0,14,0.6580745541515514,0.654725510385422,1,False,0.7237283997237682,False,dot,dot,0.44968203292923753,2.758605729450122,562.7555688078248,15.585116819023012,305,[np.int64(1242)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,76,12,001,36,m,r,calibration,0.55,2,0,15,0.5981210736084265,0.3976423325602886,1,False,0.9933120999485254,False,square,square,0.4305247894040786,1.335216878243767,281.73076130943485,2.7238956746963274,95,[np.int64(678)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
,,77,12,001,36,m,r,calibration,0.55,2,0,16,0.5981210736084265,0.3976423325602886,1,False,0.8236652999185026,False,dot,dot,0.41358231989366073,3.9843121034202955,840.6898538216824,54.64972017393333,1548,[np.int64(472)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,0.7629446568996856,True,,,,,
