participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
2,001,23,f,r,memory_test,662,387,handbrake_07s,seen,no,low,uncontrolled,no,0.8935066000558436,51,62
2,001,23,f,r,memory_test,663,388,domino_09s,unseen,,,,no,0.8417126999702305,52,61
2,001,23,f,r,memory_test,664,389,toast_07s,unseen,,,,no,1.0564469998935238,52,61
2,001,23,f,r,memory_test,665,390,apron_13s,seen,yes,low,controlled,yes,1.254603200010024,51,61
2,001,23,f,r,memory_test,666,391,headband_10s,unseen,,,,no,0.872064399998635,52,61
2,001,23,f,r,memory_test,667,392,keyboard_04s,unseen,,,,no,1.7371236999752,52,61
2,001,23,f,r,memory_test,668,393,saffron_02s,unseen,,,,yes,1.262094600009732,52,62
2,001,23,f,r,memory_test,669,394,coffee_bean_12s,seen,no,low,uncontrolled,no,0.9198077999753878,51,62
2,001,23,f,r,memory_test,670,395,peanut_butter_02s,unseen,,,,yes,1.2560486000729725,52,62
2,001,23,f,r,memory_test,671,396,coin_15s,unseen,,,,no,1.1200195999117568,52,61
2,001,23,f,r,memory_test,672,397,cashew_07s,unseen,,,,no,0.8843818000750616,52,61
2,001,23,f,r,memory_test,673,398,giraffe_07s,seen,yes,high,controlled,no,1.7646927000023425,51,62
2,001,23,f,r,memory_test,674,399,sorbet_05s,seen,yes,high,controlled,yes,1.7977208000374958,51,61
2,001,23,f,r,memory_test,675,400,grater_12s,unseen,,,,yes,1.0308645999757573,52,62
2,001,23,f,r,memory_test,676,401,bib_15n,unseen,,,,yes,1.225359799922444,52,62
2,001,23,f,r,memory_test,677,402,ketchup_14s,unseen,,,,no,0.8724685000488535,52,61
2,001,23,f,r,memory_test,678,403,clipper2_05s,seen,yes,high,controlled,no,1.3903253000462428,51,62
2,001,23,f,r,memory_test,679,404,swab_02s,unseen,,,,no,0.9272826999658719,52,61
2,001,23,f,r,memory_test,680,405,pretzel_02s,unseen,,,,no,1.4911208000266925,52,61
2,001,23,f,r,memory_test,681,406,urinal_10s,seen,no,low,uncontrolled,yes,0.9397635000059381,51,61
2,001,23,f,r,memory_test,682,407,vest_05s,unseen,,,,no,0.8637523000361398,52,61
2,001,23,f,r,memory_test,683,408,sleeping_bag_02s,unseen,,,,no,0.9441508000018075,52,61
2,001,23,f,r,memory_test,684,409,koala_12s,unseen,,,,no,0.9376994000049308,52,61
2,001,23,f,r,memory_test,685,410,glove_13s,seen,no,high,uncontrolled,yes,1.0592692999634892,51,61
2,001,23,f,r,memory_test,686,411,boxer_shorts_09s,unseen,,,,yes,0.9641864999430254,52,62
2,001,23,f,r,memory_test,687,412,eggplant_01b,unseen,,,,no,0.8740059999981895,52,61
2,001,23,f,r,memory_test,688,413,paint_01b,unseen,,,,no,0.928587400005199,52,61
2,001,23,f,r,memory_test,689,414,grapefruit_04s,unseen,,,,no,1.4189878000179306,52,61
2,001,23,f,r,memory_test,690,415,pumpkin_19s,unseen,,,,no,1.258600400062278,52,61
2,001,23,f,r,memory_test,691,416,dough_04s,unseen,,,,no,0.8035779000492766,52,61
2,001,23,f,r,memory_test,692,417,curling_iron_05s,seen,no,high,uncontrolled,yes,2.8333112000254914,51,61
2,001,23,f,r,memory_test,693,418,coaster_05s,seen,no,low,uncontrolled,no,0.8559087000321597,51,62
2,001,23,f,r,memory_test,694,419,hot_chocolate_07s,seen,no,high,uncontrolled,no,0.9829800999723375,51,62
2,001,23,f,r,memory_test,695,420,wallet_04s,unseen,,,,no,0.8536871999967843,52,61
2,001,23,f,r,memory_test,696,421,hydrant_12s,unseen,,,,no,0.7674136999994516,52,61
2,001,23,f,r,memory_test,697,422,nutcracker_11s,unseen,,,,no,0.9044959000311792,52,61
2,001,23,f,r,memory_test,698,423,cookie_11s,seen,yes,high,controlled,no,0.8757356000132859,51,62
2,001,23,f,r,memory_test,699,424,barrette_09s,unseen,,,,no,0.8336234999587759,52,61
2,001,23,f,r,memory_test,700,425,dolphin_02s,unseen,,,,no,0.7847533000167459,52,61
2,001,23,f,r,memory_test,701,426,sauerkraut_07s,unseen,,,,yes,1.0630308999679983,52,62
2,001,23,f,r,memory_test,702,427,lab_coat_01b,unseen,,,,no,0.7552281999960542,52,61
2,001,23,f,r,memory_test,703,428,duster_01s,unseen,,,,no,0.990525700035505,52,61
2,001,23,f,r,memory_test,704,429,pallet_04s,unseen,,,,yes,1.2057143000420183,52,62
2,001,23,f,r,memory_test,705,430,snorkel_09s,seen,yes,high,controlled,yes,2.1366030999924988,51,61
