thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,57,4,001,27,m,r,calibration,0.85,2,-1,57,0.2414297750189407,-1.1448567343905092,1,False,1.149972900049761,False,square,square,0.2143389035614922,3.203620152291076,579.8552475646848,294.6481757022503,1448,[np.int64(1466)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,58,4,001,27,m,r,calibration,0.85,2,-1,58,0.2414297750189407,-1.1448567343905092,1,False,1.0671454998664558,False,square,square,0.21126565456141694,3.290580306886977,595.5950355465428,223.95343291428492,176,[np.int64(1574)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,59,4,001,27,m,r,calibration,0.85,2,-1,59,0.2414297750189407,-1.1448567343905092,1,False,1.1533252999652177,False,dot,dot,0.20843397967563074,2.7044311820959597,489.50204395936873,163.87917130936177,36,[np.int64(598)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,60,4,001,27,m,r,calibration,0.85,2,-1,60,0.2414297750189407,-1.1448567343905092,1,False,1.2218122000340372,False,dot,dot,0.2058243490241772,1.6791514466234834,303.92641183885047,406.8260786269442,1043,[np.int64(934)],-1.2941374704220563,3.4054994314561076,2.0921137596967934,0.02003589359443749,0.01956634651444651,,,,,,,,,,4,001,27,m,r,,,,,,,
,,61,4,001,27,m,r,calibration,0.85,2,-1,61,0.2414297750189407,-1.1448567343905092,1,False,1.0027505999896675,False,dot,dot,0.20341860996054767,2.325525808359075,420.9201713129926,381.49449864117173,881,[np.int64(795)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,62,4,001,27,m,r,calibration,0.85,2,-1,62,0.2414297750189407,-1.1448567343905092,1,False,0.918836300028488,False,dot,dot,0.2012001257121328,3.1144680149924944,563.7187107136415,119.60389655667561,1108,[np.int64(711)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,63,4,001,27,m,r,calibration,0.85,2,-1,63,0.2414297750189407,-1.1448567343905092,1,False,0.9038519999012351,False,dot,dot,0.19915378784181262,3.190183360906149,577.423188324013,326.8694299935187,111,[np.int64(1391)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,64,4,001,27,m,r,calibration,0.55,2,0,1,0.347354013008391,-0.6306903787402434,1,False,0.8867835998535156,False,square,square,0.9585022178944526,6.218808493248963,1125.6043372780623,312.94400487238636,475,[np.int64(640)],-0.6105307855798056,3.2449087058269095,2.055422663760532,0.0257181206205907,0.02148187862845949,,,,,,,,,,4,001,27,m,r,0.27418980629928313,True,,,,,
,,65,4,001,27,m,r,calibration,0.55,2,0,2,0.347354013008391,-0.6306903787402434,1,False,0.8863853998482227,False,dot,dot,0.9261401199953351,5.791888309028314,1048.3317839341248,479.8467304400663,525,[np.int64(572)],-0.8088180781535858,3.249478062754128,2.0577708660113303,0.025403727978280513,0.021413000928689013,,,,,,,,,,4,001,27,m,r,0.27418980629928313,True,,,,,
,,66,4,001,27,m,r,calibration,0.55,2,0,3,0.40766968306220214,-0.37360720091511007,1,False,0.7365250999573618,False,dot,dot,0.8644614427153365,6.424712243942464,1162.872916153586,234.82100587985119,230,[np.int64(516)],-0.9700635822792076,3.279681644503007,2.0687435841488386,0.025032186531235075,0.021327013668469365,,,,,,,,,,4,001,27,m,r,0.27418980629928313,True,,,,,
