participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,501,239,kimono_06s,unseen,,no,0.6723787999944761,52,61
1,001,20,f,r,memory_test,502,240,toothbrush_01s,seen,no,no,0.6311006000032648,51,62
1,001,20,f,r,memory_test,503,241,mulberry_02s,seen,no,no,0.577312600100413,51,62
1,001,20,f,r,memory_test,504,242,sleeping_bag_12s,seen,yes,no,0.6607071000616997,51,62
1,001,20,f,r,memory_test,505,243,vacuum_09s,unseen,,no,0.6853165000211447,52,61
1,001,20,f,r,memory_test,506,244,apron_10s,unseen,,no,0.46119519998319447,52,61
1,001,20,f,r,memory_test,507,245,bracelet1_05s,seen,yes,no,3.1995558999478817,51,62
1,001,20,f,r,memory_test,508,246,sponge_06s,unseen,,no,0.6174418999580666,52,61
1,001,20,f,r,memory_test,509,247,limousine_01s,seen,yes,no,0.51972109999042,51,62
1,001,20,f,r,memory_test,510,248,dolphin_09n,seen,no,no,0.7551164000760764,51,62
1,001,20,f,r,memory_test,511,249,pants_05s,unseen,,no,0.3701293000485748,52,61
1,001,20,f,r,memory_test,512,250,lion_15s,unseen,,no,0.9342608000151813,52,61
1,001,20,f,r,memory_test,513,251,locker_08s,seen,no,no,0.5725792000303045,51,62
1,001,20,f,r,memory_test,514,252,praying_mantis_20s,seen,yes,no,0.38257459993474185,51,62
1,001,20,f,r,memory_test,515,253,sequin_12s,unseen,,no,0.706355300033465,52,61
1,001,20,f,r,memory_test,516,254,dumpster_02s,seen,yes,no,0.335725300014019,51,62
1,001,20,f,r,memory_test,517,255,creme_brulee_10s,seen,no,no,0.8348909000633284,51,62
1,001,20,f,r,memory_test,518,256,calf1_01b,unseen,,no,0.6589426000136882,52,61
1,001,20,f,r,memory_test,519,257,toad_06s,seen,no,no,0.457663599983789,51,62
1,001,20,f,r,memory_test,520,258,cross_14s,seen,yes,yes,0.817382000037469,51,61
1,001,20,f,r,memory_test,521,259,hot_chocolate_07s,seen,yes,no,0.6878578999312595,51,62
1,001,20,f,r,memory_test,522,260,hamster_13s,unseen,,no,0.6824968999717385,52,61
1,001,20,f,r,memory_test,523,261,dalmatian_10s,seen,yes,no,0.5136025999672711,51,62
1,001,20,f,r,memory_test,524,262,rooster_09s,unseen,,no,0.5786200000438839,52,61
1,001,20,f,r,memory_test,525,263,handbrake_07s,seen,yes,no,0.9524374000029638,51,62
1,001,20,f,r,memory_test,526,264,cookie_14s,unseen,,yes,0.8229845999740064,52,62
1,001,20,f,r,memory_test,527,265,bib_15n,unseen,,no,0.4227469000034034,52,61
1,001,20,f,r,memory_test,528,266,crouton_07s,unseen,,yes,0.9326094000134617,52,62
1,001,20,f,r,memory_test,529,267,football_helmet_05s,seen,no,no,0.6212478000670671,51,62
1,001,20,f,r,memory_test,530,268,headset_09s,unseen,,no,0.6150864000665024,52,61
1,001,20,f,r,memory_test,531,269,diamond_16s,unseen,,no,0.5730224999133497,52,61
1,001,20,f,r,memory_test,532,270,toast_07s,unseen,,no,0.7303066999884322,52,61
1,001,20,f,r,memory_test,533,271,worm_06s,seen,yes,no,0.48457630001939833,51,62
1,001,20,f,r,memory_test,534,272,breadstick_02s,unseen,,no,0.42138010007329285,52,61
1,001,20,f,r,memory_test,535,273,cigarette_06s,unseen,,no,1.6882090999279171,52,61
1,001,20,f,r,memory_test,536,274,cheesecake_13s,unseen,,no,1.6676238999934867,52,61
1,001,20,f,r,memory_test,537,275,shark_06s,unseen,,no,0.6690926000010222,52,61
1,001,20,f,r,memory_test,538,276,sauerkraut_03s,seen,yes,no,0.6142219000030309,51,62
1,001,20,f,r,memory_test,539,277,mushroom_08n,seen,no,no,0.5525900999782607,51,62
1,001,20,f,r,memory_test,540,278,mouthpiece_03s,unseen,,no,0.5845731999725103,52,61
1,001,20,f,r,memory_test,541,279,tomato_sauce_14s,unseen,,yes,1.583148799953051,52,62
1,001,20,f,r,memory_test,542,280,toad_16s,unseen,,no,0.5001782000763342,52,61
1,001,20,f,r,memory_test,543,281,bean_04s,seen,yes,no,0.9092271000845358,51,62
1,001,20,f,r,memory_test,544,282,pepper2_07s,seen,yes,no,0.4513499999884516,51,62
1,001,20,f,r,memory_test,545,283,boa_11s,unseen,,no,0.4566598000237718,52,61
1,001,20,f,r,memory_test,546,284,headband_10s,unseen,,no,0.5453309000004083,52,61
1,001,20,f,r,memory_test,547,285,cloak_12s,seen,yes,no,0.48954580002464354,51,62
1,001,20,f,r,memory_test,548,286,nightshirt_08s,unseen,,no,0.5325491999974474,52,61
1,001,20,f,r,memory_test,549,287,rattle_04s,unseen,,no,0.44772179995197803,52,61
1,001,20,f,r,memory_test,550,288,juicer1_06s,seen,yes,no,0.30149230000097305,51,62
1,001,20,f,r,memory_test,551,289,toast_13s,seen,no,no,0.5634416000684723,51,62
1,001,20,f,r,memory_test,552,290,candy_cane_07s,unseen,,no,0.4624726000474766,52,61
1,001,20,f,r,memory_test,553,291,football_helmet_14s,unseen,,no,0.5607927999226376,52,61
