thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,37,2,001,25,f,r,calibration,0.75,2,-1,37,0.5981210736084265,0.3976423325602886,1,False,0.7287467999994988,False,dot,dot,0.3423575800869297,12.334529940182701,2244.884449113252,171.96315512737522,1448,[np.int64(627)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,38,2,001,25,f,r,calibration,0.75,2,-1,38,0.5981210736084265,0.3976423325602886,1,False,0.7854848999995738,False,square,square,0.3486379072496844,14.787591706170064,2691.3416905229515,197.90642871319832,929,[np.int64(212)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,39,2,001,25,f,r,calibration,0.75,2,-1,39,0.5350820483873121,0.14055915473515587,1,False,0.686331999997492,False,square,square,0.363001714372056,10.658995088534887,1939.9371061133493,257.87213788001714,875,[np.int64(823)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,40,2,001,25,f,r,calibration,0.75,2,-1,40,0.5350820483873121,0.14055915473515587,0,False,1.0603170999966096,False,dot,square,0.29581579796015817,6.1807098112502015,2033.4535279013162,113.25868026997357,1086,[np.int64(748)],0.3739895046421333,3.6834169827971768,2.2163048084982875,0.019999462723305203,0.01963505886521024,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,41,2,001,25,f,r,calibration,0.75,2,-1,41,0.5981210736084265,0.3976423325602886,1,False,0.8879613000026438,False,square,square,0.2979721926729176,18.326755100590496,3335.4694283074705,182.3616998455915,1233,[np.int64(1567)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,42,2,001,25,f,r,calibration,0.75,2,-1,42,0.5981210736084265,0.3976423325602886,0,False,1.2979680999997072,False,dot,square,0.26370600710198944,14.083547638468264,2605.4563131166287,218.46777549360766,103,[np.int64(1583)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,43,2,001,25,f,r,calibration,0.75,2,-1,43,0.6580745541515514,0.654725510385422,1,False,0.7859095000021625,False,square,square,0.2607335274100454,15.288975444334907,3195.3958678659956,201.7668975561299,674,[np.int64(99)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,44,2,001,25,f,r,calibration,0.75,2,-1,44,0.5981210736084265,0.3976423325602886,1,False,0.7468661000020802,False,square,square,0.26215836125949926,16.689488885491055,3271.1398215562467,229.91897150710608,1007,[np.int64(644)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,45,2,001,25,f,r,calibration,0.75,2,-1,45,0.5981210736084265,0.3976423325602886,0,False,0.7610784999997122,False,dot,square,0.2391434001385784,6.484682484492138,2152.91458485139,126.18120333545892,1363,[np.int64(1023)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,46,2,001,25,f,r,calibration,0.75,2,-1,46,0.6580745541515514,0.654725510385422,1,False,0.7158552000037162,False,square,square,0.2358361615375124,11.672685398794767,2556.318102336054,185.6649409882973,1050,[np.int64(719)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
