thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,38,12,001,28,f,r,calibration,0.75,2,-1,38,0.29156950079727495,-0.887773556565376,1,False,0.5854942000005394,False,dot,dot,0.2683608341635972,4.4085034854062615,806.7561378293459,283.5035491235878,515,[np.int64(719)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,39,12,001,28,f,r,calibration,0.75,2,-1,39,0.29156950079727495,-0.887773556565376,0,False,0.5345855999039486,False,square,dot,0.2495516735524019,4.425466570441273,805.4349158203117,306.4878501264088,820,[np.int64(1323)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,40,12,001,28,f,r,calibration,0.75,2,-1,40,0.347354013008391,-0.6306903787402434,1,False,0.49124050000682473,False,square,square,0.2447602586552101,3.376220278715603,617.8483110049553,246.4398421755196,498,[np.int64(332)],-0.8465908881633737,3.4864864006721508,2.1410621626249466,0.02141951167869862,0.02016546133110055,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,41,12,001,28,f,r,calibration,0.75,2,-1,41,0.347354013008391,-0.6306903787402434,1,False,0.6248634000075981,False,dot,dot,0.2405089277844295,3.8941780683124967,817.7773943456243,218.55449218825996,1099,[np.int64(1143)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,42,12,001,28,f,r,calibration,0.75,2,-1,42,0.347354013008391,-0.6306903787402434,0,False,0.5109637000132352,False,square,dot,0.23704813256310617,3.830704763770145,697.1882670061664,341.4861960734755,1337,[np.int64(1158)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,43,12,001,28,f,r,calibration,0.75,2,-1,43,0.347354013008391,-0.6306903787402434,1,False,0.523432599962689,False,square,square,0.23266195196238104,4.420973744594936,804.6172215162783,427.2572730525703,732,[np.int64(996)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,44,12,001,28,f,r,calibration,0.75,2,-1,44,0.347354013008391,-0.6306903787402434,1,False,0.47271199990063906,False,dot,dot,0.22874424973655827,8.825729007474346,1606.2826793603308,309.7952500478712,662,[np.int64(44)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,45,12,001,28,f,r,calibration,0.75,2,-1,45,0.347354013008391,-0.6306903787402434,0,False,0.6511062999488786,False,dot,square,0.22703636748344566,5.221433890285196,955.5224019221909,127.23960235238663,1137,[np.int64(371)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,46,12,001,28,f,r,calibration,0.75,2,-1,46,0.347354013008391,-0.6306903787402434,1,False,0.5033156999852508,False,dot,dot,0.222925315482498,1.6570185626506355,303.2343969650663,227.8328135300947,1043,[np.int64(1151)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,47,12,001,28,f,r,calibration,0.75,2,-1,47,0.347354013008391,-0.6306903787402434,1,False,0.42298130004201084,False,dot,dot,0.21924245452666438,7.021823562974912,1284.993712024409,300.73197062028953,544,[np.int64(1123)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,48,12,001,28,f,r,calibration,0.75,2,-1,48,0.347354013008391,-0.6306903787402434,0,False,0.6473561000311747,False,square,dot,0.21880553457461993,5.384991873003831,980.0685208866973,320.9852541018397,485,[np.int64(475)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
