thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,21,3,001,21,f,r,calibration,0.55,2,0,21,0.5981210736084265,0.3976423325602886,1,False,1.1868790999869816,False,square,square,0.3530352236900942,4.75686364266805,1141.647274240332,26.525581721510136,1182,[np.int64(1006)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,22,3,001,21,f,r,calibration,0.55,2,0,22,0.5350820483873121,0.14055915473515587,1,False,0.9581519999774173,False,square,square,0.349041366515473,3.226509066284741,780.8151940409073,59.49628846574249,1071,[np.int64(1548)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,23,3,001,21,f,r,calibration,0.55,2,0,23,0.5350820483873121,0.14055915473515587,1,False,1.021885000023758,False,square,square,0.3447571569306057,4.062171498473711,1007.4185316214805,35.94648297796514,1174,[np.int64(531)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,24,3,001,21,f,r,calibration,0.55,2,0,24,0.5350820483873121,0.14055915473515587,1,False,1.2276588999957312,False,square,square,0.34034293167104585,1.3724924026483907,325.2806994276686,11.030355805560337,182,[np.int64(526)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,25,3,001,21,f,r,calibration,0.55,2,0,25,0.5350820483873121,0.14055915473515587,1,False,0.7431766999943648,False,square,square,0.3359580465700623,1.194514302798394,340.4365762975423,7.472582440415847,98,[np.int64(1051)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,26,3,001,21,f,r,calibration,0.55,2,0,26,0.5350820483873121,0.14055915473515587,1,False,1.026493399986066,False,square,square,0.3317464428267995,5.803627107081415,1137.5109129879575,52.33825023237117,804,[np.int64(1489)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,27,3,001,21,f,r,calibration,0.55,2,0,27,0.47090191089840744,-0.11652402308997703,1,False,1.1423465000116266,False,square,square,0.33435962133904673,0.8337977358378087,209.28323169528997,5.7005818517979,1095,[np.int64(1267)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,28,3,001,21,f,r,calibration,0.55,2,0,28,0.47090191089840744,-0.11652402308997703,0,False,0.8601778000011109,False,square,dot,0.2953141395362788,-0.5182582651154007,-143.557539436966,2.201654185415022,1414,[np.int64(1180)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,29,3,001,21,f,r,calibration,0.55,2,0,29,0.5350820483873121,0.14055915473515587,1,False,0.8877360000042245,False,dot,dot,0.29023131107849914,4.728744848091248,1097.0688047571696,85.62227379879712,674,[np.int64(333)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,30,3,001,21,f,r,calibration,0.55,2,0,30,0.5350820483873121,0.14055915473515587,1,False,0.8362550000019837,False,square,square,0.2855613777088329,9.894551747531528,2226.2741431945938,120.47642148748749,1280,[np.int64(1162)],-0.07981195619487512,3.715533470468244,2.255926373197626,0.02339052563187925,0.02083942282268724,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,31,3,001,21,f,r,calibration,0.55,2,0,31,0.5350820483873121,0.14055915473515587,1,False,1.1629627000074834,False,square,square,0.28135486903471724,7.970838974355108,1697.788701537638,91.89888904094316,369,[np.int64(310)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,32,3,001,21,f,r,calibration,0.55,2,0,32,0.47090191089840744,-0.11652402308997703,0,False,1.1833813000121154,False,square,dot,0.25447037647031057,0.6752960499007282,160.72045987637333,16.762136196771543,1184,[np.int64(586)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
